id,year,type,cargo,date,label,status,note
diputados-2023,2023,general,diputados,2023-10-22,Diputados nacionales · Generales 2023,ready,
diputados-2025,2025,general,diputados,2025-10-26,Diputados nacionales · Generales 2025,ready,
