legislator_id,law_id,acta_id,legislador,distrito,bloque,voto,voto_raw,hcdn_asset_id,foto
HCDN3082,ley-bases-sancion-2024,5272,"Pokoik, Lorena",CABA,Unión por la Patria,NEGATIVO,negativo,REC2011,https://api.argentinadatos.com/static/diputados/diputados/HCDN3082.jpg
HCDN3041,ley-bases-sancion-2024,5272,"Diez, Romina",Santa Fe,La Libertad Avanza,AFIRMATIVO,afirmativo,REC2012,https://api.argentinadatos.com/static/diputados/diputados/HCDN3041.jpg
HCDN3044,ley-bases-sancion-2024,5272,"Campero, Mariano",Tucumán,La Libertad Avanza,AFIRMATIVO,afirmativo,REC2013,https://api.argentinadatos.com/static/diputados/diputados/HCDN3044.jpg
HCDN1512,ley-bases-sancion-2024,5272,"Massot, Nicolas",Buenos Aires,Encuentro Federal,AFIRMATIVO,afirmativo,A50934,https://api.argentinadatos.com/static/diputados/diputados/HCDN1512.jpg
HCDN3074,ley-bases-sancion-2024,5272,"Giuliano, Diego A.",Santa Fe,Unión por la Patria,NEGATIVO,negativo,REC2014,https://api.argentinadatos.com/static/diputados/diputados/HCDN3074.jpg
HCDN3111,ley-bases-sancion-2024,5272,"Benedit, Beltran",Entre Ríos,La Libertad Avanza,AFIRMATIVO,afirmativo,REC2015,https://api.argentinadatos.com/static/diputados/diputados/HCDN3111.jpg
HCDN3073,ley-bases-sancion-2024,5272,"Zago, Oscar",CABA,Mid - Movimiento de Integración y Desarrollo,AFIRMATIVO,afirmativo,REC2016,https://api.argentinadatos.com/static/diputados/diputados/HCDN3073.jpg
HCDN3071,ley-bases-sancion-2024,5272,"Mayoraz, Nicolas",Santa Fe,La Libertad Avanza,AFIRMATIVO,afirmativo,REC2017,https://api.argentinadatos.com/static/diputados/diputados/HCDN3071.jpg
HCDN3056,ley-bases-sancion-2024,5272,"Molle, Matias",Buenos Aires,Unión por la Patria,NEGATIVO,negativo,REC2018,https://api.argentinadatos.com/static/diputados/diputados/HCDN3056.jpg
HCDN3108,ley-bases-sancion-2024,5272,"Paulon, Esteban",Santa Fe,Provincias Unidas,NEGATIVO,negativo,REC2019,https://api.argentinadatos.com/static/diputados/diputados/HCDN3108.jpg
HCDN3035,ley-bases-sancion-2024,5272,"Bordet, Gustavo",Entre Ríos,Unión por la Patria,NEGATIVO,negativo,REC2020,https://api.argentinadatos.com/static/diputados/diputados/HCDN3035.jpg
HCDN3058,ley-bases-sancion-2024,5272,"Avico, Belen",Córdoba,La Libertad Avanza,AFIRMATIVO,afirmativo,REC2021,https://api.argentinadatos.com/static/diputados/diputados/HCDN3058.jpg
HCDN3110,ley-bases-sancion-2024,5272,"Razzini, Veronica",Santa Fe,La Libertad Avanza,AFIRMATIVO,afirmativo,REC2022,https://api.argentinadatos.com/static/diputados/diputados/HCDN3110.jpg
HCDN3107,ley-bases-sancion-2024,5272,"Menem, Martin",La Rioja,La Libertad Avanza,PRESIDENTE,presidente,REC2023,https://api.argentinadatos.com/static/diputados/diputados/HCDN3107.jpg
HCDN3042,ley-bases-sancion-2024,5272,"Bornoroni, Gabriel",Córdoba,La Libertad Avanza,AFIRMATIVO,afirmativo,REC2024,https://api.argentinadatos.com/static/diputados/diputados/HCDN3042.jpg
HCDN3093,ley-bases-sancion-2024,5272,"Campitelli, Celia",Santiago del Estero,Unión por la Patria,NEGATIVO,negativo,REC2025,https://api.argentinadatos.com/static/diputados/diputados/HCDN3093.jpg
HCDN3046,ley-bases-sancion-2024,5272,"Morchio, Francisco",Entre Ríos,La Libertad Avanza,AFIRMATIVO,afirmativo,REC2026,https://api.argentinadatos.com/static/diputados/diputados/HCDN3046.jpg
HCDN3062,ley-bases-sancion-2024,5272,"Gomez, Jose",Santiago del Estero,Unión por la Patria,NEGATIVO,negativo,REC2027,https://api.argentinadatos.com/static/diputados/diputados/HCDN3062.jpg
HCDN1240,ley-bases-sancion-2024,5272,"Basterra, Luis Eugenio",Formosa,Unión por la Patria,NEGATIVO,negativo,A50726,https://api.argentinadatos.com/static/diputados/diputados/HCDN1240.jpg
HCDN1577,ley-bases-sancion-2024,5272,"Brügge, Juan Fernando",Córdoba,Provincias Unidas,AFIRMATIVO,afirmativo,A51013,https://api.argentinadatos.com/static/diputados/diputados/HCDN1577.jpg
HCDN3098,ley-bases-sancion-2024,5272,"Huesen, Gerardo",Tucumán,La Libertad Avanza,AFIRMATIVO,afirmativo,REC2028,https://api.argentinadatos.com/static/diputados/diputados/HCDN3098.jpg
HCDN3049,ley-bases-sancion-2024,5272,"Ardohain, Martin",La Pampa,Pro,AFIRMATIVO,afirmativo,REC2029,https://api.argentinadatos.com/static/diputados/diputados/HCDN3049.jpg
HCDN3055,ley-bases-sancion-2024,5272,"Gonzalez, Gerardo Gustavo",Formosa,Innovación Federal,AFIRMATIVO,afirmativo,REC2030,https://api.argentinadatos.com/static/diputados/diputados/HCDN3055.jpg
HCDN3092,ley-bases-sancion-2024,5272,"Ibañez, Maria Cecilia",Córdoba,La Libertad Avanza,AFIRMATIVO,afirmativo,REC2031,https://api.argentinadatos.com/static/diputados/diputados/HCDN3092.jpg
HCDN3051,ley-bases-sancion-2024,5272,"Picat, Luis Albino",Córdoba,La Libertad Avanza,AFIRMATIVO,afirmativo,REC2032,https://api.argentinadatos.com/static/diputados/diputados/HCDN3051.jpg
HCDN3097,ley-bases-sancion-2024,5272,"Quintar, Manuel",Jujuy,La Libertad Avanza,AFIRMATIVO,afirmativo,REC2033,https://api.argentinadatos.com/static/diputados/diputados/HCDN3097.jpg
HCDN3069,ley-bases-sancion-2024,5272,"Ponce, Maria Celeste",Córdoba,La Libertad Avanza,AFIRMATIVO,afirmativo,REC2034,https://api.argentinadatos.com/static/diputados/diputados/HCDN3069.jpg
HCDN3029,ley-bases-sancion-2024,5272,"Almiron, Lisandro",Corrientes,La Libertad Avanza,AFIRMATIVO,afirmativo,REC2035,https://api.argentinadatos.com/static/diputados/diputados/HCDN3029.jpg
HCDN3109,ley-bases-sancion-2024,5272,"Torres, Alejandra",Córdoba,Provincias Unidas,AFIRMATIVO,afirmativo,REC2036,https://api.argentinadatos.com/static/diputados/diputados/HCDN3109.jpg
