id,nombre,distrito,source,foto
HCDN1396,"Arenas, Berta Hortensia",San Luis,argentinadatos,
HCDN0976,"Areta, Maria Josefa",Corrientes,argentinadatos,
HCDN1069,"Argüello, Octavio",Buenos Aires,argentinadatos,
HCDN1144,"Argumedo, Alcira Susana",CABA,argentinadatos,
HCDN2934,"Arjol, Martin",Misiones,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2934.jpg
HCDN1235,"Arregui, Andres Roberto",Buenos Aires,argentinadatos,
HCDN3014,"Arricau, Carolina Natalia",Buenos Aires,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN3014.jpg
HCDN1581,"Arrieta, Gustavo Hector",Buenos Aires,argentinadatos,
HCDN3059,"Arrieta, Lourdes Micaela",Mendoza,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3059.jpg
HCDN2356,"Arroyo, Daniel",Buenos Aires,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2356.jpg
HCDN3030,"Arrua, Alberto",Misiones,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3030.jpg
HCDN2758,"Ascarate, Lidia Ines",Tucumán,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2758.jpg
HCDN1224,"Asef, Daniel Edgardo",Córdoba,argentinadatos,
HCDN2441,"Asencio, Fernando",Buenos Aires,argentinadatos,
HCDN1145,"Aspiazu, Lucio Bernardo",Corrientes,argentinadatos,
HCDN1236,"Asseff, Alberto",Buenos Aires,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN1236.jpg
HCDN0061,"Atanasof, Alfredo Nestor",Buenos Aires,argentinadatos,
HCDN2921,"Aubone, Ana Fabiola",San Juan,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2921.jpg
HCDN1582,"Austin, Brenda Lis",Córdoba,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN1582.jpg
HCDN3028,"Aveiro, Martin",Mendoza,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3028.jpg
HCDN3058,"Avico, Belen",Córdoba,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3058.jpg
HCDN2357,"Avila, Beatriz Luisa",Tucumán,argentinadatos,
HCDN3052,"Avila, Fernanda",Catamarca,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3052.jpg
HCDN3094,"Avila, Jorge Antonio",Chubut,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3094.jpg
