id,list_id,election_id,district_id,order,rol,nombre,elected,legislator_id,match_confidence,mandato_inicio,mandato_fin,foto
2019-buenos-aires-consenso-federal-28,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,28,titular,"CASTRONUEVO, ALEJANDRO FABIAN",false,,,,,
2019-buenos-aires-consenso-federal-29,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,29,titular,"REINHARDT, SABRINA",false,,,,,
2019-buenos-aires-consenso-federal-30,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,30,titular,"SHORTREDE, AGUSTIN",false,,,,,
2019-buenos-aires-consenso-federal-31,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,31,titular,"MONTERO, ELBA B",false,,,,,
2019-buenos-aires-consenso-federal-32,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,32,titular,"BURKET, LUCIANO",false,,,,,
2019-buenos-aires-consenso-federal-33,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,33,titular,"JACQUET, MONICA SANDRA",false,,,,,
2019-buenos-aires-consenso-federal-34,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,34,titular,"ARRUA, LUIS ADRIAN",false,,,,,
2019-buenos-aires-consenso-federal-35,2019-buenos-aires-consenso-federal,diputados-2019,Buenos Aires,35,titular,"AYALA, MARIA ESTER",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-s-01,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,1,suplente,"BLANCO, MARIA SOLEDAD",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-s-02,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,2,suplente,"CASAS, FEDERICO",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-s-03,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,3,suplente,"TORRES, BELEN AILEN",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-s-04,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,4,suplente,"LUACES, MARIO ERNESTO",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-s-05,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,5,suplente,"BARBUTO, LORENA FERNANDA",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-s-06,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,6,suplente,"ALMARANTE, NICOLAS",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-s-07,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,7,suplente,"GERARDI, ROSARIO PILMAYQUEN",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-s-08,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,8,suplente,"VILLOSLADA, WALTER FERNANDO",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-s-09,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,9,suplente,"PEDEMONTE, SANDRA GRACIELA",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-s-10,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,10,suplente,"CASAS, GUILLERMO ALBERTO",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-01,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,1,titular,"PITROLA, NESTOR ANTONIO",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-02,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,2,titular,"SIMIONI, LUANA",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-03,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,3,titular,"CASTILLO, CHRISTIAN CARLOS HERNAN",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-04,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,4,titular,"SCHLOTTHAUER, MONICA LETICIA",false,,,,,
2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad-05,2019-buenos-aires-frente-de-izquierda-y-de-trabajadores-unidad,diputados-2019,Buenos Aires,5,titular,"GIORDANO, JUAN CARLOS",false,,,,,
